persona,song,song_idx,minute,HR_bpm,HRV_ms,Resp_bpm,Stress_score
ADHD,Song_1,1,0,74.3,39.3,15.5,47.0
ADHD,Song_1,1,5,74.1,42.8,15.5,44.0
ADHD,Song_1,1,10,72.6,45.3,14.3,33.0
ADHD,Song_1,1,15,72.1,48.9,14.2,25.0
ADHD,Song_1,1,20,69.4,53.1,13.3,19.0
ADHD,Song_2,2,0,76.2,40.3,15.9,50.0
ADHD,Song_2,2,5,73.5,41.8,15.6,41.0
ADHD,Song_2,2,10,73.0,46.4,14.7,33.0
ADHD,Song_2,2,15,72.5,49.4,14.2,28.0
ADHD,Song_2,2,20,71.1,52.5,13.2,19.0
ADHD,Song_3,3,0,75.9,35.5,16.4,50.0
ADHD,Song_3,3,5,75.2,40.2,15.8,41.0
ADHD,Song_3,3,10,72.9,43.7,14.6,34.0
ADHD,Song_3,3,15,71.3,49.8,14.1,28.0
ADHD,Song_3,3,20,69.5,51.7,13.4,19.0
ADHD,Song_4,4,0,77.2,39.1,15.4,51.0
ADHD,Song_4,4,5,76.0,41.8,15.2,43.0
ADHD,Song_4,4,10,72.5,46.3,14.7,37.0
ADHD,Song_4,4,15,72.0,48.3,14.3,28.0
ADHD,Song_4,4,20,69.4,52.4,12.6,20.0
ADHD,Song_5,5,0,75.4,35.2,15.4,50.0
ADHD,Song_5,5,5,75.3,41.6,15.5,40.0
ADHD,Song_5,5,10,71.7,46.7,14.9,34.0
ADHD,Song_5,5,15,72.8,48.0,13.9,28.0
ADHD,Song_5,5,20,71.8,53.0,14.0,17.0
Anxiety,Song_1,1,0,87.1,24.5,20.1,77.0
Anxiety,Song_1,1,5,86.2,26.3,19.8,72.0
Anxiety,Song_1,1,10,85.2,29.4,18.6,65.0
Anxiety,Song_1,1,15,82.3,33.7,17.6,56.0
Anxiety,Song_1,1,20,79.0,35.4,17.2,51.0
Anxiety,Song_2,2,0,87.6,22.9,20.2,80.0
Anxiety,Song_2,2,5,85.7,28.0,19.5,73.0
Anxiety,Song_2,2,10,84.5,30.4,18.5,63.0
Anxiety,Song_2,2,15,80.7,33.3,17.7,52.0
Anxiety,Song_2,2,20,79.1,34.3,16.7,49.0
Anxiety,Song_3,3,0,87.3,24.6,19.8,78.0
Anxiety,Song_3,3,5,84.5,26.3,19.3,70.0
Anxiety,Song_3,3,10,83.2,28.0,18.7,60.0
Anxiety,Song_3,3,15,81.1,33.9,18.4,59.0
Anxiety,Song_3,3,20,77.4,37.0,17.8,50.0
Anxiety,Song_4,4,0,87.1,24.5,20.7,77.0
Anxiety,Song_4,4,5,86.2,28.4,19.1,73.0
Anxiety,Song_4,4,10,82.4,28.9,18.4,64.0
Anxiety,Song_4,4,15,81.2,34.2,17.7,56.0
Anxiety,Song_4,4,20,80.0,36.7,16.9,49.0
Anxiety,Song_5,5,0,87.5,24.5,20.1,82.0
Anxiety,Song_5,5,5,85.9,24.6,18.9,73.0
Anxiety,Song_5,5,10,83.2,31.5,18.8,63.0
Anxiety,Song_5,5,15,82.3,32.0,17.3,60.0
Anxiety,Song_5,5,20,77.1,36.8,17.7,48.0
Insomnia,Song_1,1,0,69.7,27.4,17.0,63.0
Insomnia,Song_1,1,5,65.2,31.3,16.3,50.0
Insomnia,Song_1,1,10,65.0,35.3,15.5,46.0
Insomnia,Song_1,1,15,62.5,37.4,15.0,35.0
Insomnia,Song_1,1,20,60.6,41.2,14.5,27.0
Insomnia,Song_2,2,0,69.7,28.2,16.9,66.0
Insomnia,Song_2,2,5,66.0,29.4,16.2,49.0
Insomnia,Song_2,2,10,65.0,34.0,15.4,48.0
Insomnia,Song_2,2,15,60.3,38.4,14.3,37.0
Insomnia,Song_2,2,20,58.8,42.9,15.0,29.0
Insomnia,Song_3,3,0,68.8,27.8,17.2,60.0
Insomnia,Song_3,3,5,64.3,28.9,16.5,58.0
Insomnia,Song_3,3,10,64.3,33.8,16.4,46.0
Insomnia,Song_3,3,15,62.1,38.1,15.0,37.0
Insomnia,Song_3,3,20,58.6,41.7,14.4,32.0
Insomnia,Song_4,4,0,67.6,25.5,17.0,65.0
Insomnia,Song_4,4,5,65.6,30.1,15.9,52.0
Insomnia,Song_4,4,10,63.7,33.0,16.2,45.0
Insomnia,Song_4,4,15,62.1,39.6,15.6,38.0
Insomnia,Song_4,4,20,60.3,42.0,14.3,26.0
Insomnia,Song_5,5,0,68.7,29.2,17.1,60.0
Insomnia,Song_5,5,5,65.8,30.5,16.2,57.0
Insomnia,Song_5,5,10,65.5,35.4,15.9,47.0
Insomnia,Song_5,5,15,62.0,37.7,14.8,38.0
Insomnia,Song_5,5,20,62.3,42.1,14.3,29.0
