Persona,Song,BPM_nominal,BPM_fluct,LUFS,Roughness,Dissonance,FAD_score,BPM_pass,LUFS_pass,Safety_pass,FAD_pass,ALL_pass
Insomnia,Song_1,59.9,0.62,-22.2,0.174,0.146,4.43,✅,✅,✅,✅,✅
Insomnia,Song_2,59.6,1.44,-22.4,0.146,0.117,1.89,✅,✅,✅,✅,✅
Insomnia,Song_3,59.7,1.49,-24.1,0.088,0.072,1.83,✅,✅,✅,✅,✅
Insomnia,Song_4,60.7,1.13,-23.3,0.055,0.038,3.5,✅,✅,✅,✅,✅
Insomnia,Song_5,59.5,0.95,-20.6,0.122,0.145,1.8,✅,❌,✅,✅,❌
Anxiety,Song_1,69.5,0.51,-21.7,0.092,0.113,4.28,✅,✅,✅,✅,✅
Anxiety,Song_2,69.1,0.24,-23.3,0.107,0.103,3.89,✅,✅,✅,✅,✅
Anxiety,Song_3,69.3,1.1,-20.9,0.071,0.042,2.46,✅,❌,✅,✅,❌
Anxiety,Song_4,69.1,0.99,-22.4,0.086,0.098,3.3,✅,✅,✅,✅,✅
Anxiety,Song_5,70.4,0.77,-21.7,0.072,0.053,3.12,✅,✅,✅,✅,✅
ADHD,Song_1,120.7,0.51,-23.0,0.187,0.074,2.41,✅,✅,✅,✅,✅
ADHD,Song_2,119.9,0.75,-23.6,0.139,0.098,4.39,✅,✅,✅,✅,✅
ADHD,Song_3,119.7,1.04,-23.6,0.08,0.051,2.98,✅,✅,✅,✅,✅
ADHD,Song_4,119.4,1.08,-22.0,0.066,0.041,4.41,✅,✅,✅,✅,✅
ADHD,Song_5,120.9,0.82,-23.4,0.148,0.096,3.68,✅,✅,✅,✅,✅
