Persona,Song,HR_0min,HR_20min,ΔHR,HRV_0min,HRV_20min,HRV_Δ%,✅HRV_pass,✅HR_pass
Insomnia,Song_1,69.7,60.6,-9.1,27.4,41.2,+50.4%,✅,✅
Insomnia,Song_2,69.7,58.8,-10.9,28.2,42.9,+52.1%,✅,✅
Insomnia,Song_3,68.8,58.6,-10.2,27.8,41.7,+50.0%,✅,✅
Insomnia,Song_4,67.6,60.3,-7.3,25.5,42.0,+64.7%,✅,✅
Insomnia,Song_5,68.7,62.3,-6.4,29.2,42.1,+44.2%,✅,✅
Anxiety,Song_1,87.1,79.0,-8.1,24.5,35.4,+44.5%,✅,✅
Anxiety,Song_2,87.6,79.1,-8.5,22.9,34.3,+49.8%,✅,✅
Anxiety,Song_3,87.3,77.4,-9.9,24.6,37.0,+50.4%,✅,✅
Anxiety,Song_4,87.1,80.0,-7.1,24.5,36.7,+49.8%,✅,✅
Anxiety,Song_5,87.5,77.1,-10.4,24.5,36.8,+50.2%,✅,✅
ADHD,Song_1,74.3,69.4,-4.9,39.3,53.1,+35.1%,✅,❌
ADHD,Song_2,76.2,71.1,-5.1,40.3,52.5,+30.3%,✅,✅
ADHD,Song_3,75.9,69.5,-6.4,35.5,51.7,+45.6%,✅,✅
ADHD,Song_4,77.2,69.4,-7.8,39.1,52.4,+34.0%,✅,✅
ADHD,Song_5,75.4,71.8,-3.6,35.2,53.0,+50.6%,✅,❌
